,s,ch,db,sse,bic,xb,cv,vlr,acc,rscore,adjrscore,gci_0.1,gci_medioid_0.1,gci_0.2,gci_medioid_0.2,gci_0.3,gci_medioid_0.3,gci_0.35,gci_medioid_0.35,gci_0.4,gci_medioid_0.4,gci_0.45,gci_medioid_0.45,gci_0.5,gci_medioid_0.5
1,,,,17070.000000000004,-24319.62410501593,,,1.0,,,,0.23801628350996584,0.19469358887952787,0.31250672459022166,0.27609627784063184,0.36852131367994306,0.3452055378568933,0.3937093018124985,0.3776086662484046,0.46322327406503727,0.46962767209621925,0.46322327406503727,0.46962767209621925,0.46322327406504055,0.46962767209622264
2,0.33938477753669855,248.62884061078907,1.369963541894103,11866.53722635905,-21672.788191465752,281.5529648796787,3.512096020335545,1.1801654021796124,0.8804920913884007,0.7891779499492562,0.5750409366326297,0.30360055260237095,0.2719363020735123,0.38101563409715605,0.35489747040917,0.4369528041135366,0.4164858706905063,0.4618101484570709,0.44401626711095143,0.5299896030864958,0.5196778154423523,0.5299896030864958,0.5196778154423523,0.5299896030864997,0.519677815442356
3,0.33009721062922587,182.17394580771122,1.556389937521331,10384.953937202903,-20754.64685400277,300.6193066035925,2.7628340376944345,1.3533561671651884,,,,0.3358312666175638,0.30492718889340786,0.4083275522979072,0.38200872586712287,0.4595461179503999,0.43784647514999897,0.48220251153683924,0.462793876242961,0.5443242622662092,0.5317964497180069,0.5443242622662092,0.5317964497180069,0.5443242622662132,0.5317964497180108
4,0.2981990434923712,138.09049053268672,1.4848329611949305,9848.699037725655,-20436.68309907102,350.7129784036948,1.0511602022118192,1.523184852499498,,,,0.34898965829865425,0.32294065593113735,0.4189522604801831,0.3937895998057146,0.4685727102856763,0.4461160634924639,0.4905582243236266,0.4697827740185198,0.5508961578065734,0.5360954987661756,0.5508961578065734,0.5360954987661756,0.5508961578065774,0.5360954987661795
5,0.24340428427139352,116.7350447376558,1.6247164235551501,9338.543784179263,-20160.837152725286,523.1638272729294,1.0121589759723575,1.659749082111799,,,,0.36213481150552945,0.3328926517944071,0.4316936273644454,0.40400763923518956,0.4806693179746609,0.4566507521691474,0.502204115791134,0.4803938689619775,0.5607675107026987,0.5466568570285625,0.5607675107026987,0.5466568570285625,0.5607675107027027,0.5466568570285663
6,0.11994019653667852,104.965035446527,2.043142596143826,8834.516980429093,-20010.363032431218,1306.0320853544151,1.133251544881537,1.7699876657654805,,,,0.37297229909523355,0.34300480360663466,0.4438199662246156,0.4159517902712023,0.4931531662532622,0.4689118481495842,0.5147464841593559,0.49257068603281007,0.5732055324488208,0.5580669535846587,0.5732055324488208,0.5580669535846587,0.5732055324488249,0.5580669535846627
7,0.1237788560215736,96.90980822726503,1.8407067334823466,8389.755350915622,-19676.72496370792,1258.8717832694167,1.0410061317266919,1.8647169474307057,,,,0.38269535564262225,0.35100465576013606,0.44937604568303,0.4205474586177259,0.49672188782031695,0.47207889475401854,0.5176202988519953,0.49529041441533156,0.574623938529014,0.5600446540478159,0.574623938529014,0.5600446540478159,0.574623938529018,0.56004465404782
8,0.0962220060522099,91.66703825393209,1.8520368142182373,7962.513266591148,-19492.182975814492,1221.7414503887742,1.123527304700511,1.943775279810971,,,,0.3853741377876188,0.3513995167061625,0.4547979510172486,0.4227063095622736,0.5040501850765469,0.4759400869020238,0.5257262605527392,0.4999786214090865,0.584615233884742,0.5671429486022517,0.584615233884742,0.5671429486022517,0.5846152338847462,0.5671429486022558
9,0.09993387173199585,87.59185341522283,1.7495395512614527,7582.244729692206,-19238.05865776985,1044.3860251415003,1.265154649542971,2.013647964663853,,,,0.3963518234749771,0.36091261373049527,0.4655286159907257,0.4324243713215399,0.5136002179670967,0.48482087154706055,0.5346245984672988,0.5083930340054723,0.5915670684894103,0.5743134517729793,0.5915670684894103,0.5743134517729793,0.5915670684894145,0.5743134517729835
10,0.10316882397976453,83.4923141391325,1.7256505303832774,7281.673936203591,-19010.595621225602,1005.5856489355865,1.1010700405294933,2.081934765130135,,,,0.40748076657068805,0.3645771911873229,0.47189797781457765,0.4339009586242869,0.5177879309214766,0.4857122410705682,0.538064764637991,0.5091972937547631,0.593451435440849,0.5752879729495078,0.593451435440849,0.5752879729495078,0.5934514354408532,0.575287972949512
