,s,ch,db,sse,bic,xb,cv,vlr,acc,rscore,adjrscore,gci_0.1,gci_medioid_0.1,gci_0.2,gci_medioid_0.2,gci_0.3,gci_medioid_0.3,gci_0.35,gci_medioid_0.35,gci_0.4,gci_medioid_0.4,gci_0.45,gci_medioid_0.45,gci_0.5,gci_medioid_0.5
1,,,,999.9999999999995,-1428.2614466876423,,,1.0,,,,0.27194025935061067,0.2576993726534079,0.22212532999951623,0.20649291418046578,0.3582525224500754,0.3565173288600473,0.38566441393409207,0.39079173727264116,0.4147629420696428,0.4279031204153504,0.44536189773101376,0.4675870226332353,0.47731663242799377,0.5096371596746887
2,0.6820537474889595,1383.30052052554,0.4143214053090324,264.710499235329,-1091.5147486345402,38.155141661359814,3.1727704884001597,0.7283433893741998,,,,0.4823296132388291,0.4613269897792905,0.3948625601644005,0.3866285593493951,0.5763480024671063,0.5659870312644886,0.6012759711881435,0.5937144562213548,0.6268322034387377,0.6219055395433397,0.6529931533033371,0.6505098669358997,0.6797353492587885,0.6794886167219429
3,0.8189698409896327,7290.823231588546,0.23770784061986752,32.960518121682995,-289.99502163048567,12.436874077910943,31.37040896361325,0.43260699551992665,1.0,1.0,1.0,0.7388230927984019,0.7378878413406452,0.588969712018087,0.5818982466322218,0.8181024773278472,0.8177589687751652,0.8333938313737947,0.8331712641446574,0.8479129210653048,0.8478196760904446,0.8618108308822499,0.8618567153684842,0.8751883973435375,0.875384066860897
4,0.7042756615047534,6299.822876763752,0.4486411295777759,25.572983538297283,-284.0595701733154,70.67549776639677,1.0112314077011124,1.0181233761647446,,,,0.7630214061755161,0.7610022712809126,0.588969712018087,0.5818982466322218,0.8389456866918823,0.8386831637439238,0.8530677109179114,0.8532109508305299,0.8663522853567274,0.8668855166849518,0.8789613512992153,0.8798689916921343,0.891002576255695,0.8922691507859866
5,0.6091188994554629,6650.576055160365,0.5534796814665339,18.267499820994438,-239.81240847096691,63.329518709860835,1.2998169112969418,0.9630359744600033,,,,0.7963708874894653,0.7924331225065373,0.6346611261752712,0.6256265736818712,0.8629830332134993,0.8627415011692355,0.8749833227246009,0.8753368618831832,0.8862107324789859,0.8870736366439526,0.8968236598956034,0.8981213319459653,0.9069269540998407,0.9085928332343773
6,0.5154969941586973,7713.264253407673,0.649622121256851,12.647105399434311,-180.37888699105073,56.97149217493306,2.6152119567360588,0.9124010178945627,,,,0.8311498038959946,0.8233235247603045,0.6712248662348713,0.6545979472484872,0.8846580055137572,0.883883095447551,0.8940949786513288,0.8942654423196204,0.9029535851273953,0.9039061309774533,0.9113670687467745,0.9129689779833994,0.9194224325634509,0.9215624555978792
7,0.49985104083777876,7744.729058043198,0.6608460722118917,10.497989184557902,-160.80078221099245,64.71507170470927,1.537589196034834,0.9850786378426696,,,,0.8442194176378951,0.835043816145421,0.6712248662348713,0.6545979472484872,0.8939474585699501,0.8927920792168875,0.9024814665593073,0.9023230229830317,0.9104583518736231,0.9111169541691073,0.9180103179179252,0.9193441905096452,0.9252228734728444,0.9271166780152159
8,0.46499026821990846,7653.189054531612,0.6713584809704742,9.100271107181582,-159.7067418123993,76.91942023204822,1.1112713000413106,0.9963478467244646,,,,0.8546724525941057,0.8444105099937795,0.6712248662348713,0.6545979472484872,0.9015553551101827,0.8998647007247706,0.9095163402314741,0.9088944947621568,0.9169500701582866,0.917206507697744,0.9239831516180405,0.9249670472225843,0.9306965462160172,0.9322846290510242
9,0.43291067419355045,7764.567201769132,0.6742299071624809,7.842506169560714,-146.0553881361273,72.32731906028738,1.1386502938626444,0.9856400356131964,,,,0.8649465521877084,0.8537476252569963,0.7424773417306151,0.7120531219917897,0.9086049591467293,0.9062149169218541,0.9159800105494995,0.914751625865112,0.9228615138363729,0.9226001216091211,0.9293703813446355,0.9299177392287656,0.9355841848621105,0.9368073760680675
10,0.44011135670079576,8025.888967060316,0.6693121153166127,6.737895786196959,-118.83957610170285,69.83579356196768,1.0398393084044215,0.9780389744500173,,,,0.876635693969799,0.8657190287297563,0.7424773417306151,0.7120531219917897,0.9150991280796912,0.9128694922325871,0.9216152870572061,0.9205285171269288,0.9277157685212001,0.9275896225390252,0.9335076767014584,0.9341964993645586,0.9390589698492754,0.9404424029511818
11,0.4435553980408089,8566.919627065678,0.6462652445045675,5.675606282005469,-73.48861699574422,66.44195852738338,1.0263051443833402,0.9635714832219896,,,,0.8907529405349668,0.8806301243484267,0.7424773417306151,0.7120531219917897,0.9222265492294532,0.9196913666793809,0.9278431964729673,0.9262915856429088,0.9331666122967633,0.9324430707573843,0.9382747517469442,0.9382562814992262,0.9432167313657658,0.943802612178363
12,0.4585672702571263,9515.64357886073,0.6364226120624684,4.640544234421394,-34.66171850296179,71.51894468140678,1.792217387706391,0.9454033285814415,,,,0.9019673340713726,0.8938970592733972,0.7424773417306151,0.7120531219917897,0.9290442147035489,0.9272418278722176,0.9340357710166117,0.9329673086439669,0.9387985620392854,0.9383436338973838,0.9433946682053456,0.943462003070662,0.9478626976110816,0.9483801640416655
13,0.45257385021343505,9947.899664916698,0.6595057658201126,4.063012705777591,-25.375727329339583,76.7162369481831,1.4117376308499148,0.9749135697609703,,,,0.9051795777383151,0.8974469590481241,0.7424773417306151,0.7120531219917897,0.9328680669384233,0.9312378993304582,0.9378000456446982,0.9368246712388013,0.9424680326503865,0.9420309724648019,0.946940371009507,0.946956452493561,0.951259677498287,0.9516642648536513
14,0.4522122658836125,10193.987473989171,0.6528462133473989,3.653920027348307,-5.735731684482147,80.37895343205163,1.1414601854487068,0.9851312965186811,,,,0.9111895669492533,0.9058473072892796,0.7424773417306151,0.7120531219917897,0.9363068414237836,0.9352605102057643,0.9408718179504242,0.9402551180639549,0.9452117559900137,0.9449495348044528,0.9493856382282551,0.9494268004553144,0.9534299696088181,0.9537387512501724
15,0.4478442236105301,10477.444945253741,0.6598062418252831,3.29552585500276,15.839518928026195,77.87890279900934,1.3753880967643832,0.9840376603448471,,,,0.9165654287893367,0.913436281537322,0.8092830995485838,0.7779821939387845,0.9391983906841286,0.9382806829980461,0.943455877335226,0.9427878407530964,0.9475249588156943,0.947090111180305,0.9514540681489922,0.9512489021945982,0.9552735006585655,0.9553024527856564
16,0.44888293575037,10599.4327931453,0.6495927914714597,3.0349490962037904,32.024564795360476,82.45246584023245,1.0144925115419814,0.9921467047516683,,,,0.9218279614617061,0.9187763085233853,0.8092830995485838,0.7779821939387845,0.9418522296033369,0.9408481689214445,0.9457635854269026,0.9449986571328404,0.9495319460851954,0.9489943072038427,0.9531958095954602,0.9528853914174118,0.9567791456572088,0.9567028751438245
17,0.43476466145477344,10836.072350648185,0.6766233866569658,2.7780948012392024,27.610011082431896,96.49846279994466,1.3364231530914954,0.9872142374484513,,,,0.9251223960277823,0.9212854620328987,0.8092830995485838,0.7779821939387845,0.944658368441037,0.943323693664051,0.9483908229014291,0.9473652109512725,0.9519694844788036,0.9512371675933423,0.9554342542233375,0.9549928025570712,0.9588099200496641,0.9586649367446652
18,0.41607802888826256,10936.087688222402,0.7067312946412903,2.585899466722274,8.926180106006768,104.14115914367837,1.1874788226719668,0.993788863152182,,,,0.9270273164583173,0.9232568340753498,0.8092830995485838,0.7779821939387845,0.9467255011893069,0.9453282956845227,0.9503936980213938,0.9492971031777527,0.9538922927331828,0.9530852558413629,0.9572652469506496,0.956748513646217,0.9605400353779074,0.9603213311236694
19,0.41873241568385855,10997.079109973563,0.6905179017031888,2.4240478775844854,26.476403542433957,103.66544282446395,1.2933090300946997,0.9957637389206195,,,,0.9304471470738089,0.9273595147226872,0.8705351728997837,0.8467177385175312,0.9477912642595618,0.9466653254831895,0.9512374944392197,0.950375436915257,0.9545615346793432,0.9539577218073647,0.9577951576950787,0.957453857292597,0.9609586346217188,0.9608902347087205
20,0.40480944129640434,10963.962093673343,0.7066709218665097,2.2989025446659195,9.966807404006886,109.61458761593575,1.0344549079787368,1.0001837647167735,,,,0.9310899628156613,0.9277920048595962,0.8705351728997837,0.8467177385175312,0.9489661050547352,0.9476820465242795,0.9524563066028383,0.9514641965739683,0.9558064206862349,0.9551021768286709,0.9590512614150571,0.958639855313745,0.9622132375695752,0.9621051334019874
21,0.3904253148467158,10972.753227623127,0.7508279725059567,2.1779254658649765,-8.641514986997038,114.92907047588781,1.0182328767606126,0.9985930478466881,,,,0.9328566755230354,0.9283655126539958,0.8705351728997837,0.8467177385175312,0.9503045025514653,0.9485056916562457,0.9537156535844505,0.9523033925382214,0.9569871666945597,0.9559492270360193,0.9601524034780831,0.9594883656556834,0.9632327380144936,0.9629493795377818
22,0.39203882896646064,11031.45732562719,0.7440959167664999,2.0591146500270345,0.10260525305747592,115.45507268692258,1.1648078285320804,0.9962635912486149,,,,0.9351613813675341,0.9323174293950665,0.8867682276975433,0.876961287141072,0.951575969174387,0.9500892856770562,0.9548441406142083,0.9536219842500109,0.9579899561319495,0.9570478310645075,0.9610429838201737,0.9604012923425438,0.9640222600933184,0.963704151769137
23,0.38755028137585523,11056.781137840422,0.7588460456775322,1.957114291746759,-13.697376269802618,114.43304858253353,1.3000790894216268,0.9978727575488958,,,,0.9358807653387498,0.9329109682464509,0.8867682276975433,0.876961287141072,0.9526295266617872,0.9511083374996904,0.955909480964088,0.954680312930451,0.9590511958082526,0.9581310734144679,0.962086427168769,0.9614970724427698,0.965035698812901,0.9648014410810634
24,0.382977477780909,10995.498049197498,0.7732419145316508,1.8786572508557675,-19.797591878224154,121.26448030295226,1.0231401411574013,1.0018739818395845,,,,0.9367030409753025,0.9335807019023878,0.8867682276975433,0.876961287141072,0.9535750346782192,0.952005693871619,0.9568135692492599,0.9555625728534453,0.9599044175199427,0.9589875286857436,0.9628822212829917,0.9623198054964408,0.9657694355580436,0.9655843673871348
25,0.38153750396058705,10963.529658303783,0.7488612463829699,1.801974656033284,-24.254568963212932,123.05914167312928,1.0046808280514579,1.0025007728846802,,,,0.9385769927624976,0.9354112757183701,0.8867682276975433,0.876961287141072,0.954664563194623,0.9531426799409644,0.9577941985715712,0.9566133045885985,0.9607881923108776,0.9599625165559714,0.9636783520071484,0.9632266758057878,0.9664854246102348,0.966428926161464
26,0.37237945376418485,10968.208542224442,0.7620920941100392,1.7256493269522002,-35.080281983537674,127.60782048322578,1.0159055104322505,1.0015230607543486,,,,0.9394067229528555,0.9362342002925452,0.8867682276975433,0.876961287141072,0.9555010269617792,0.9538958728971867,0.9586074789021679,0.9573583387201621,0.9615730182902765,0.9607002340899364,0.9644301760806846,0.9639571307382951,0.9672002328032185,0.9671515908530204
27,0.37495921025391793,11003.98184791534,0.7684124910786259,1.650518984319637,-45.72809849271201,130.72054219793418,1.0910259916833718,0.9991915463073874,,,,0.9404300380091085,0.9370859597207575,0.8867682276975433,0.876961287141072,0.9564332300957166,0.9547263963053851,0.9594979298334134,0.9581603396994827,0.9624207793670602,0.9614692145623841,0.9652348669578004,0.9646890854528859,0.9679617689174187,0.9678428515320656
