,s,ch,db,sse,bic,xb,cv,vlr,acc,rscore,adjrscore,gci_0.1,gci_medioid_0.1,gci_0.2,gci_medioid_0.2,gci_0.3,gci_medioid_0.3,gci_0.35,gci_medioid_0.35,gci_0.4,gci_medioid_0.4,gci_0.45,gci_medioid_0.45,gci_0.5,gci_medioid_0.5
1,,,,5000.000000000002,-7128.87801724137,,,1.0,1.0,1.0,1.0,0.29565605897318736,0.27890667901998123,0.22697576758898164,0.22355461951802622,0.358562218518545,0.34018614030243133,0.37330742620106827,0.3547178700796871,0.38805053174969395,0.3693189091370054,0.4028628176038235,0.384063406437971,0.41779301541974934,0.39900279459059595
2,0.04611453943760894,24.762578614080574,4.352570400510402,4763.156549195529,-7388.264687688789,1989.3898454360365,1.2497413013960643,1.3816976688956892,,,,0.30692345604112103,0.2993431941336513,0.23279052869451905,0.22338181085130396,0.3711193741013473,0.35976065718154143,0.3861926044682401,0.37407159844635707,0.4012845378335286,0.3885040270582977,0.4164690555137228,0.40313456216205934,0.4317966089487378,0.4180153678618662
3,0.033648197456920256,23.165304363436896,3.609359548408131,4573.642566949844,-7491.4746332311925,1564.6236743217482,1.1784011020671405,1.6598881107868553,,,,0.31379637337883876,0.2967769343016729,0.23279052869451905,0.2335226814840502,0.38055526614307256,0.3630668015714876,0.39584104519149926,0.37855800227174613,0.41103982509285586,0.39412741410807983,0.42623364546612613,0.4098650769033013,0.44147860091627694,0.42583251488250645
4,0.026138842570194148,21.99965212703313,3.337434438767252,4412.819582387761,-7588.551373702713,1394.0770744128563,1.2218273192301192,1.8845710436935543,,,,0.32115386788477573,0.3072962698163403,0.2322176608510142,0.2335226814840502,0.3885620366095155,0.37520420790903086,0.40403089298542255,0.39108464909660423,0.41944214005552427,0.40702468857898444,0.43487918894888977,0.4231108544656298,0.450398725093827,0.4394023041863404
5,0.023933054848690922,20.777417241875472,3.1262668081260276,4281.194612123209,-7650.733219295521,1305.7538712687176,1.086988016110404,2.0774479834981103,,,,0.3267508397127188,0.31335019112335494,0.2289364706203478,0.23565280767575603,0.3946173173954682,0.38068421468756586,0.41028991740604887,0.3964843156102802,0.4259170778465609,0.41238878403751444,0.4415770677172839,0.42849093457051285,0.4573228514260314,0.44485484200740216
6,0.022190490949366933,19.947055641539222,2.9351351178792022,4160.103148083384,-7691.122367352136,1196.0423459222256,1.016353518131814,2.245584856178956,,,,0.3315081478925467,0.3208921698495728,0.23062510518672658,0.23735411789142685,0.400257933003797,0.3876438717117864,0.41604978920390284,0.4034010014906084,0.4317675226858259,0.4192833963563802,0.44749042010826434,0.43538478000720326,0.463271892745614,0.45176979891073793
7,0.028611295946149737,19.500591599386528,2.818374754887404,4040.96009216874,-7741.245444420409,1134.432413373037,1.0121908143509084,2.3929471760575467,,,,0.33701177403203086,0.3223233523694985,0.23716338679205073,0.23735411789142685,0.4057442418805537,0.38989954208071786,0.4214149984923323,0.40572397094878787,0.4370032692897889,0.4216722012639239,0.45259036445823,0.4378491684323047,0.46823062313615865,0.4543275327184093
8,0.032551783267320375,19.290120246807067,2.7970249387032835,3923.2519938285595,-7784.35993915974,1107.0731426901707,1.1353035566553416,2.5231949967474216,,,,0.3430565304211576,0.3277144237882989,0.2375358315765734,0.23735411789142685,0.4110310383659046,0.3946793268569893,0.4265742063675625,0.41064801497933623,0.44204556897275077,0.42680719376236875,0.4575245658944647,0.4432589920556806,0.47306372499770566,0.46007437278269186
9,0.03535306280514419,18.967768287381983,2.636479238898885,3819.572147456058,-7796.579635693342,1082.3347105323974,1.0911347001112464,2.6433406711888963,,,,0.3511393003732442,0.33710925996589886,0.2375358315765734,0.23735411789142685,0.41671125646955565,0.40137231394183925,0.43197011586251416,0.41698408693249944,0.4472082287437745,0.4328431883308114,0.46249538260482936,0.44904663852835086,0.4778776422356972,0.46566299374929576
10,0.04164379761723883,18.644138198914536,2.5108881769618487,3724.551939261844,-7802.534547919574,1058.9809948766354,1.0483236923513402,2.754255644242834,,,,0.3550119664264376,0.3410013121163678,0.26812900832992403,0.2775160760957512,0.42073927239978964,0.40411120503252096,0.435887286265641,0.41974212256718285,0.4509727492083489,0.43566709527862546,0.46606972368508637,0.45197645702985123,0.4812276071261464,0.4687355488074379
11,0.04122104788530675,18.38286585686717,2.412060267105621,3633.9117973977523,-7828.62134522637,919.8139337935877,1.1434565786882926,2.856237880253605,,,,0.3574798981874745,0.34251951820362053,0.26812900832992403,0.2775160760957512,0.42396683074231195,0.4066613223689396,0.43925961326157426,0.42248055436786913,0.4544878542343962,0.43859996026127346,0.4697265954839809,0.45511631948178916,0.48502563156739087,0.47209932974135654
12,0.038334115138823066,18.038738842508632,2.3359315819694015,3554.6432501232516,-7852.579357427643,895.8174536524111,1.2344660596281125,2.95354772652203,,,,0.36112928491214746,0.3440294283063742,0.26812900832992403,0.2775160760957512,0.42835742697054413,0.40974519044756386,0.4436839087935211,0.425807916057211,0.4589140510805432,0.4421601466182027,0.474126004671099,0.45891060857418214,0.4893715297179923,0.47613782152493206
13,0.041067242882639465,17.551808090453218,2.3134691953160025,3490.4304298061174,-7874.54318056917,881.187397564313,1.0435146387543315,3.0493828909581504,,,,0.3648367452167027,0.3475574491921932,0.26812900832992403,0.2837629815438265,0.4320012128087439,0.4124055909535941,0.4472492622555123,0.42831934019906004,0.4623955575967292,0.44454185024016324,0.4775205905553983,0.4611830475802451,0.49267752596935865,0.4783223467763834
14,0.0379987757193878,17.129466024442646,2.3226662411392884,3428.895288915534,-7914.823338149729,993.4885727207392,1.0735338131100451,3.1397008119607706,,,,0.36704051329258736,0.35158725612916963,0.26570181333459547,0.2837629815438265,0.4348483231026373,0.41580694621890213,0.4501505738396274,0.43156709757846373,0.4653451381298951,0.44767334557716565,0.48051689013994436,0.464241836633782,0.4957216225775592,0.48135617971155137
15,0.037871414803204446,16.732028367818263,2.291237177849006,3371.575118708398,-7935.414586536208,978.3523551014982,1.0172948595239433,3.225941228495036,,,,0.3694307740108105,0.3551321191065292,0.26570181333459547,0.2837629815438265,0.4379960468802594,0.4192996066210328,0.4534056349229285,0.4350344763013703,0.46867911406328894,0.45112810283930305,0.48390213229736107,0.4676997269558313,0.49913109476008866,0.484835144968813
